Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
O'Donovan,John O'Donovan,UCSB,John O'Donovan UCSB,Computer Science,,,2009,2010
Ohlmann,Carter Ohlmann,UCSB,Carter Ohlmann UCSB,ERI,,,2009,
Plantinga,Andrew Plantinga,UCSB,Andrew Plantinga UCSB,Bren,,,2012,2013
Porter,Susannah Porter,UCSB,Susannah Porter UCSB,Earth Science and ERI,,,2009,
Pulver,Simone Pulver,UCSB,Simone Pulver UCSB,Environmental Studies,,,2009,
Raubal,Martin Raubal,ETH Zurich,Martin Raubal ETH Zurich,Geography,,,,2009
Reed,Daniel Reed,UCSB,Daniel Reed UCSB,Marine Science Institute,,,2010,2011
Rioux,Matthew Rioux,UCSB,Matthew Rioux UCSB,ERI,,,2010,
Roberts,Dar Roberts,UCSB,Dar Roberts UCSB,Geography,,,2009,
Romero,Leonel Romero,UCSB,Leonel Romero UCSB,Marine Science Institute and ERI,,,2011,
Rood,Dylan Rood,Imperial College London,Dylan Rood Imperial College London,ERI,,,2011,
Ryan,Sadie Ryan,University of Florida,Sadie Ryan University of Florida,NCEAS,,,2011,2012
Safinya,Cyrus Safinya,UCSB,Cyrus Safinya UCSB,Materials and Physics,,,2011,2012
Schimel,Joshua Schimel,UCSB,Joshua Schimel UCSB,EEMB,,,2009,
Schweizer,Diane Schweizer,UCSB,Diane Schweizer UCSB,ICESS,,,,2009
Seale,Sandra Seale,UCSB,Sandra Seale UCSB,ERI,,,2009,2013
Shi,Jiancheng Shi,"Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences","Jiancheng Shi Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences",ERI,,,2009,
Siegel,David Siegel,UCSB,David Siegel UCSB,Geography and ERI,,,2009,
Silva,Thiago Silva,University of Stirling,Thiago Silva University of Stirling,ERI,,,2013,
Simms,Alexander Simms,UCSB,Alexander Simms UCSB,Earth Science,,,2009,
Simons,Rachel Simons,UCSB,Rachel Simons UCSB,ERI,,,2010,
Singer,Michael Singer,UCSB,Michael Singer UCSB,ERI,,,2009,
Sistla,Seeta Sistla,Cal Poly,Seeta Sistla Cal Poly,ERI,,,2010,
CSmith,Raymond Smith,UCSB,Raymond Smith UCSB,Geography,,,2009,
Smith,Terence Smith,UCSB,Terence Smith UCSB,Computer Science,,,,2010
Sorlien,Christopher Sorlien,UCSB,Christopher Sorlien UCSB,ERI,,,2009,
Spera,Frank Spera,UCSB,Frank Spera UCSB,Earth Science,,,2009,
Steidl,Jamison Steidl,UCSB,Jamison Steidl UCSB,ERI,,,2009,
Still,Christopher Still,Oregon State University,Christopher Still Oregon State University,Geography,,,,2012
Stoms,David Stoms,UCSB,David Stoms UCSB,ERI,,,,2012
Stratton,Lisa Stratton,UCSB,Lisa Stratton UCSB,CCBER,,,2011,
Stucky,Galen Stucky,UCSB,Galen Stucky UCSB,Chemistry and Biochemistry,,,2009,
Suh,Sangwon Suh,UCSB,Sangwon Suh UCSB,Bren,,,2009,
Sweeney,Stuart Sweeney,UCSB,Stuart Sweeney UCSB,Geography,,,,2009
Sweet,Samuel Sweet,UCSB,Samuel Sweet UCSB,EEMB,,,2009,
Tague,Christina Tague,UCSB,Christina Tague UCSB,Bren,,,2009,
Tanimoto,Toshiro Tanimoto,UCSB,Toshiro Tanimoto UCSB,Earth Science,,,2009,
Thorsch,Jennifer Thorsch,UCSB,Jennifer Thorsch UCSB,CCBER,,,2011,
Tyler,Claudia Tyler,UCSB,Claudia Tyler UCSB,ERI,,,,2011
Valentine,David Valentine,UCSB,David Valentine UCSB,Earth Science,,,,2012
Wan,Zhengming Wan,UCSB,Zhengming Wan UCSB,ERI,,,,2013
Warner,Robert Warner,UCSB,Robert Warner UCSB,EEMB,,,,2010
Washburn,Libe Washburn,UCSB,Libe Washburn UCSB,Geography,,,,2011
Weldeab,Syee Weldeab,UCSB,Syee Weldeab UCSB,Earth Science,,,2013,
Wilkinson,Bob Wilkinson,UCSB,Bob Wilkinson UCSB,Environmental Studies,,,,2009
Wilson,Douglas Wilson,UCSB,Douglas Wilson UCSB,Marine Science Institute,,,,2011
