Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Tilman,David Tilman, UCSB,David Tilman UCSB,Bren,"Ecology, Biodiversity, Ecosystem Functioning",Population Ecology; Community Ecology; Conservation,,2022
Stucky,Galen Stucky, UCSB,Galen Stucky UCSB,Chemistry & Biochemistry,"Inorganic Chemistry, Materials Chemistry",Materials,,2022
Archuleta,Ralph Archuleta, UCSB,Ralph Archuleta UCSB,Earth Science,"Seismic Source Studies, Strong Motion Seismology",Geophysics,,2014
Awramik,Stanley Awramik, UCSB,Stanley Awramik UCSB,Earth Science,Pre-Phanerozoic Biogeology,Paleobiology,,2022
Burbank,Douglas Burbank, UCSB,Douglas Burbank UCSB,Earth Science,"Tectonic Geomorphology, Collisional Orogens, Sedimentation and Tectonics, Surface Processes",Geomorphology; Tectonics; Cryospheric Sciences,,2017
Busby,Cathy Busby, UCSB,Cathy Busby UC Davis,Earth Science,Sedimentology and Stratigraphy of Active Margins,"Sedimentology, Tectonics; Volcanology",,2014
Clark,Jordan Clark, UCSB,Jordan Clark UCSB,Earth Science,"Hydrogeology, Aqueous Geochemistry",Hydrology; Limnology,,
Cottle,John Cottle, UCSB,John Cottle UCSB,Earth Science,Tectonics and Geochronology,Tectonics ,,
Eilon,Zachary Eilon, UCSB,Zachary Eilon UCSB,Earth Science,"Seismology, Tectonics, Inverse Theory",,2016,
Gans,Phil Gans, UCSB,Phil Gans UCSB,Earth Science,"Structural geology, tectonics",Tectonics,,
Hacker,Bradley Hacker, UCSB,Bradley Hacker UCSB,Earth Science,"Metamorphic Petrology, Tectonics, Geochronology and Petrophysics",Tectonics; Petrology,,2020
Jackson,Matthew Jackson, UCSB,Matthew Jackson UCSB,Earth Science,Geochemistry and Igneous Petrology,Volcanology; Petrology; Marine Geology,2013,
Ji,Chen Ji, UCSB,Chen Ji UCSB,Earth Science,Seismology,Geophysics,,
Keller,Edward Keller, UCSB,Edward Keller UCSB,Earth Science,"Earth Surface Processes, Environmental Geology",Geomorphology; Hydrology,,2020
Lea,David Lea, UCSB,David Lea UCSB,Earth Science,"Paleoclimatology, Paleoceanography, Marine Geochemistry, Global Climate Change",Paleoclimate;  Chemical oceanography,,
Lisiecki,Lorraine Lisiecki, UCSB,Lorraine Lisiecki UCSB,Earth Science,Paleoclimate and Paleoceanography,Paleoclimate,,
Macdonald,Francis Macdonald, UCSB,Francis Macdonald UCSB,Earth Science,Geology,"Tectonics, Paleobiology",2018,
Matoza,Robin Matoza, UCSB,Robin Matoza UCSB,Earth Science,"Geophysics, seismology, and acoustics",Geophysics,2015,
Morell,Kristin Morell, UCSB,Kristin Morell UCSB,Earth Science,Tectonic geomorphology and active tectonics.,"Tectonics, Geophysics",2017,
Porter,Susannah Porter, UCSB,Susannah Porter UCSB,Earth Science,"Precambrian and Cambrian Paleobiology, Early Eukaryote and Animal Evolution",Paleobiology; Evolutionary Ecology,,
Raven,Morgan Raven, UCSB,Morgan Raven UCSB,Earth Science,"Organic Geochemistry, Geobiology",Biogeochemistry,2018,
Rudnick,Roberta Rudnick, UCSB,Roberta Rudnick UCSB,Earth Science,Geochemistry and Petrology,Petrology,2015,
Simms,Alexander Simms, UCSB,Alexander Simms UCSB,Earth Science,"Sedimentology - depositional systems response to sea-level, climate, and tectonic changes","Sedimentology, Paleoclimate",,
Spera,Frank Spera, UCSB,Frank Spera UCSB,Earth Science,"Magma Dynamics, Properties of Magmas, Volcanology and Geomaterials",Volcanology; Petrology,,2018
Tanimoto,Toshiro Tanimoto, UCSB,Toshiro Tanimoto UCSB,Earth Science,"Seismology, Earth structure",Geophysics,,
Tiffney,Bruce Tiffney, UCSB,Bruce Tiffney UCSB,Earth Science,"Angiosperm paleo- & neocarpology, land plant evolution, plant-animal interactions in the fossil record",Paleobiology; Evolutionary Ecology,,2020
Valentine,David Valentine, UCSB,David Valentine UCSB,Earth Science,"Geochemistry, Microbiology, Marine Science",Chemical Oceanography; Environmental Microbiology,,
Weldeab,Syee Weldeab, UCSB,Syee Weldeab UCSB,Earth Science,"Paleoclimatology, Paleoceanography",Paleoclimate,,
Wyss,Andy Wyss, UCSB,Andy Wyss UCSB,Earth Science,"Vertebrate Paleontology, Mammalian Systematics ",Paleobiology,,
Briggs,Cherie Briggs, UCSB,Cherie Briggs UCSB,EEMB,Dynamics of animal populations,Population Ecology,,
Brzezinski,Mark Brzezinski, UCSB,Mark Brzezinski UCSB,EEMB,Marine phytoplankton -  diatoms,Biological Oceanography,,
Burkepile,Deron Burkepile, UCSB,Deron Burkepile UCSB,EEMB,Coral Reef Ecology and Community Ecology,Marine Ecology and Community Ecology,2016,
Carlson,Craig Carlson, UCSB,Craig Carlson UCSB,EEMB,"Biological oceanography – Marine microbial ecology, bacterioplankton, biogeochemical cycling",Biological Oceanography; EnvMicrobiology,,
Collins,Peter Collins, UCSB,Peter Collins UCSB,EEMB,Mechanisms regulating reproduction and development in vertebrate animal models,Physiology/Development,,2017
Eliason,Erika Eliason, UCSB,Erika Eliason UCSB,EEMB,Fish Physiology,"Marine Ecology, Ecophysiology",2016,
Hodges,Scott Hodges, UCSB,Scott Hodges UCSB,EEMB,Genetic basis of adaptation and speciation,Evolution; Genetics,,
Hofmann,Gretchen Hofmann, UCSB,Gretchen Hofmann UCSB,EEMB,"Ecological physiology of marine organisms, in particular kelp, invertebrates and perciform fishes",Ecophysiology; Marine Ecology,,
Holbrook,Sally Holbrook, UCSB,Sally Holbrook UCSB,EEMB,"Population dynamics and species interactions of marine species, mainly reef fishes",Community & Population Ecology; Marine Ecology,,2025
Iglesias-Rodriguez,Debora Iglesias-Rodriguez, UCSB,Debora Iglesias-Rodriguez UCSB,EEMB,Biological Oceanography; Diversity and function in marine phytoplankton ,Biological Oceanography; Ecophysiology,2013,
Mazer,Susan J. Mazer, UCSB,Susan Mazer UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,
