,new_column,Last Name,Name,School,Researcher,Home Dept,Areas of expertise from webpage,Sub-Headings,Start Year,Depart Year,Profile,Keywords
108,P2YMInoAAAAJ,Ding,Qinghua Ding, UCSB,Qinghua Ding UCSB,Geography,Climate  Dynamics,,2017.0,,,
109,qrDqBXEAAAAJ,Ganti,Vamsi Ganti, UCSB,Vamsi Ganti UCSB,Geography,Fluvial Geomorphology,"Hydrology, Geomorphology",2018.0,,,
110,none,Gautier,Catherine Gautier, UCSB,Catherine Gautier UCSB,Geography,"Climate science – atmospheric science, radiation, climate change, education",Climate; Atmospheric Science,,2013.0,,
111,xdXTW7wAAAAJ,Goulias,Kostas Goulias, UCSB,Kostas Goulias UCSB,Geography,"Geographic Information Science, Transportation",GIScience; Transportation; Human Geography,,,,
112,6B2Z9vAAAAAJ,Janowicz,Krzysztof Janowicz, UCSB,Krzysztof Janowicz UCSB,Geography,Geographic Information Science,GIScience,2011.0,,,
113,PHyhP_AAAAAJ,Jones,Charles Jones, UCSB,Charles Jones UCSB,Geography,"Atmospheric science – Regional and large-scale climate variability and modeling, air-sea interaction",Climate; Atmospheric Science,2013.0,,,
114,yaLhLgkAAAAJ,King,Jennifer King, UCSB,Jennifer King UCSB,Geography,Terrestrial biogeochemistry; Soil Science,Soils; Ecosystem Ecology,,,,
115,SQsXfZAAAAAJ,Kuhn,Werner Kuhn, UCSB,Werner Kuhn UCSB,Geography,Geographic Information Science,GIScience,2013.0,2024.0,,
116,none,Kyriakidis,Phaedon Kyriakidis, UCSB,Phaedon Kyriakidis UCSB,Geography,Geographic Information Science; geostatistics ,GIScience,,2014.0,,
117,WQ9iC9kAAAAJ,Loaiciga,Hugo Loaiciga, UCSB,Hugo Loaiciga UCSB,Geography,Groundwater hydrology; water resources,Hydrology,,2022.0,,
118,w_JW40AAAAAJ,Lopez-Carr,David Lopez-Carr, UCSB,David Lopez-Carr UCSB,Geography,Human-Environment Relations; Demography & migration,Human Geography,,,,
119,none,McFadden,Joseph McFadden, UCSB,Joseph McFadden UCSB,Geography,"Land-use and land-cover change, biosphere-atmosphere interactions, Earth system science, urban ecology","LULCC; Land-atmosphere interaction; Ecosystems Ecology, Ecophysiology",,,,
120,none,Michaelsen,Joel Michaelsen, UCSB,Joel Michaelsen UCSB,Geography,"Climatology, meteorology, and statistics",Climate; Atmospheric Science,,2014.0,,
121,none,Montello,Dan Montello, UCSB,Dan Montello UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,,,
122,Raj7sewAAAAJ,Murray,Alan Murray, UCSB,Alan Murray UCSB,Geography,GIS/Transport,GIScience; Transportaion; Human Geography,2016.0,,,
123,UmAJBOIAAAAJ,Nidzieko,Nick Nidzieko, UCSB,Nick Nidzieko UCSB,Geography,Estuarine and Coastal Processes,Physical Oceanography and Marine Ecology,2015.0,,,
